Input,Output
Hoje acordei muito animado,felicidade
Estou sorrindo o tempo todo hoje,felicidade
Recebi uma boa notícia no trabalho,felicidade
Meu projeto foi aprovado,felicidade
Estou feliz por ver meus amigos,felicidade
Hoje estou de ótimo humor,felicidade
Passei um tempo agradável com minha família,felicidade
Tudo está dando certo hoje,felicidade
Estou muito satisfeito com os resultados,felicidade
Foi um dia maravilhoso,felicidade
Estou contente com minha evolução,felicidade
Ganhei um elogio inesperado,felicidade
Estou celebrando uma conquista,felicidade
O almoço estava delicioso hoje,felicidade
Terminei algo importante hoje,felicidade
Estou cheio de energia positiva,felicidade
Consegui resolver um problema difícil,felicidade
Sinto uma grande alegria hoje,felicidade
A reunião foi muito produtiva,felicidade
Estou empolgado com os próximos passos,felicidade
Hoje me sinto leve e tranquilo,felicidade
Estou muito motivado hoje,felicidade
Consegui atingir minha meta,felicidade
Recebi um reconhecimento pelo meu esforço,felicidade
Hoje foi um ótimo dia para mim,felicidade
Estou satisfeito com o progresso,felicidade
As coisas estão indo muito bem,felicidade
Estou feliz por ter aprendido algo novo,felicidade
Estou de bom humor hoje,felicidade
Foi muito bom rever um amigo,felicidade
Hoje acordei um pouco triste,tristeza
Estou me sentindo desanimado,tristeza
Nada parece melhorar hoje,tristeza
Perdi a motivação hoje,tristeza
Estou com saudade de alguém,tristeza
Hoje estou com o coração pesado,tristeza
Recebi uma notícia que me deixou mal,tristeza
Sinto um vazio hoje,tristeza
Estou preocupado com muitas coisas,tristeza
Hoje está sendo um dia difícil,tristeza
Não estou me sentindo bem hoje,tristeza
Sinto que as coisas não estão indo bem,tristeza
Estou cansado emocionalmente,tristeza
Hoje acordei sem vontade de nada,tristeza
Estou me sentindo abatido,tristeza
Estou chateado com o que aconteceu,tristeza
Hoje tudo parece complicado,tristeza
Estou desmotivado hoje,tristeza
Não consegui resolver meus problemas hoje,tristeza
Sinto um pouco de tristeza hoje,tristeza
Estou preocupado com o futuro,tristeza
Hoje estou sem energia,tristeza
As coisas estão difíceis hoje,tristeza
Estou desapontado com os resultados,tristeza
Hoje não foi um bom dia,tristeza
Sinto falta de tempos melhores,tristeza
Estou com um sentimento ruim hoje,tristeza
Hoje estou emocionalmente cansado,tristeza
Sinto que perdi algo importante,tristeza
Estou um pouco deprimido hoje,tristeza
Acabei de abrir o computador,nulo
Estou verificando minhas mensagens,nulo
Vou iniciar uma tarefa agora,nulo
Estou atualizando o sistema,nulo
Acabei de terminar uma leitura,nulo
Vou começar a trabalhar agora,nulo
Estou revisando um relatório,nulo
Vou preparar um café,nulo
Estou organizando meus arquivos digitais,nulo
Estou verificando a agenda,nulo
Acabei de enviar um email,nulo
Estou aguardando uma resposta,nulo
Vou iniciar uma reunião,nulo
Estou consultando um documento,nulo
Estou abrindo um aplicativo,nulo
Estou aguardando o carregamento do sistema,nulo
Vou revisar alguns dados,nulo
Estou digitando um texto,nulo
Acabei de salvar o arquivo,nulo
Estou navegando na internet,nulo
Vou verificar os resultados,nulo
Estou olhando as notificações,nulo
Estou preparando um relatório,nulo
Vou analisar alguns números,nulo
Estou aguardando o início da aula,nulo
Estou revisando uma planilha,nulo
Acabei de fechar um programa,nulo
Estou configurando o sistema,nulo
Vou iniciar um teste,nulo
Estou observando os dados,nulo
Hoje estou extremamente feliz,felicidade
Recebi uma mensagem muito boa,felicidade
Estou celebrando uma vitória hoje,felicidade
Meu trabalho foi reconhecido,felicidade
Hoje tive uma grande conquista,felicidade
Estou muito satisfeito com meu desempenho,felicidade
Estou orgulhoso do que fiz hoje,felicidade
Hoje estou me sentindo excelente,felicidade
Recebi uma ótima oportunidade,felicidade
Hoje foi um dia muito positivo,felicidade
Estou comemorando um resultado,felicidade
Tudo deu certo hoje,felicidade
Hoje foi cheio de boas notícias,felicidade
Estou muito grato hoje,felicidade
Sinto muita alegria hoje,felicidade
Estou feliz com minhas escolhas,felicidade
Hoje me sinto muito bem,felicidade
Recebi algo que me deixou feliz,felicidade
Hoje foi muito especial,felicidade
Estou satisfeito com meu trabalho,felicidade
Hoje foi muito produtivo,felicidade
Estou animado com o futuro,felicidade
Hoje estou cheio de esperança,felicidade
Recebi apoio de alguém importante,felicidade
Hoje tive um momento muito feliz,felicidade
Consegui superar um desafio,felicidade
Hoje foi cheio de coisas boas,felicidade
Estou muito contente hoje,felicidade
Hoje estou cheio de alegria,felicidade
Estou feliz com a vida hoje,felicidade
Hoje estou muito abatido,tristeza
Recebi uma notícia triste,tristeza
Hoje foi frustrante,tristeza
Sinto que falhei hoje,tristeza
Estou decepcionado comigo mesmo,tristeza
Hoje foi complicado,tristeza
Sinto que perdi uma oportunidade,tristeza
Estou com um sentimento pesado,tristeza
Hoje foi cansativo emocionalmente,tristeza
Estou preocupado com o que aconteceu,tristeza
Hoje não consegui me concentrar,tristeza
Estou com dificuldades hoje,tristeza
Hoje estou desmotivado,tristeza
Nada parece funcionar hoje,tristeza
Hoje sinto muita pressão,tristeza
Estou cansado mentalmente,tristeza
Hoje estou desanimado,tristeza
Sinto que tudo deu errado,tristeza
Hoje estou frustrado,tristeza
Estou sem esperança hoje,tristeza
Hoje foi um dia ruim,tristeza
Estou chateado hoje,tristeza
Hoje sinto um peso no coração,tristeza
Estou preocupado hoje,tristeza
Hoje não estou bem,tristeza
Estou emocionalmente abalado,tristeza
Hoje foi um dia complicado,tristeza
Estou desiludido hoje,tristeza
Hoje sinto muita tristeza,tristeza
Estou abatido hoje,tristeza
Abri o navegador,nulo
Estou lendo um texto,nulo
Vou iniciar uma análise,nulo
Estou verificando um documento,nulo
Acabei de iniciar o programa,nulo
Estou olhando a tela,nulo
Vou salvar o relatório,nulo
Estou digitando no teclado,nulo
Acabei de abrir um arquivo,nulo
Estou aguardando o download,nulo
Vou revisar os dados,nulo
Estou navegando em um site,nulo
Acabei de enviar uma mensagem,nulo
Estou olhando os resultados,nulo
Vou atualizar a página,nulo
Estou analisando o conteúdo,nulo
Acabei de iniciar o sistema,nulo
Estou lendo um relatório,nulo
Vou fechar o aplicativo,nulo
Estou aguardando instruções,nulo
Acabei de verificar os dados,nulo
Estou olhando a planilha,nulo
Vou iniciar o processo,nulo
Estou observando a tela,nulo
Acabei de iniciar a tarefa,nulo
Estou acompanhando o progresso,nulo
Vou iniciar o teste,nulo
Estou verificando o status,nulo
Acabei de revisar o documento,nulo
Estou aguardando o próximo passo,nulo